cogOTU_2591	4QBD3	1	Loc081215-4m_megahit_metabat_bin-1105	00015	8.5e-17	53.7	0.1	9.9e-17	53.5	0.1	1.1	1	hypothetical protein
cogOTU_2591	4QBD3	1	Loc081215-5m_megahit_metabat_bin-0059	00013	9.9e-09	27.2	3.8	1.2e-08	26.9	3.8	1.2	1	hypothetical protein
cogOTU_2591	4QBD3	1	Loc081215-8m_megahit_metabat_bin-0554	00024	9.9e-09	27.2	3.8	1.2e-08	26.9	3.8	1.2	1	hypothetical protein
cogOTU_2591	4QE2R	1	Loc081215-5m_megahit_metabat_bin-0059	00027	2e-08	26.9	1.5	2.9e-08	26.4	1.5	1.3	1	hypothetical protein
cogOTU_2591	4QE2R	1	Loc081215-8m_megahit_metabat_bin-0554	00038	2e-08	26.9	1.5	2.9e-08	26.4	1.5	1.3	1	hypothetical protein
cogOTU_2591	4QEUB	1	Loc081215-5m_megahit_metabat_bin-0059	00029	0.00039	13.0	0.1	0.00075	12.1	0.1	1.4	1	hypothetical protein
cogOTU_2591	4QEUB	1	Loc081215-8m_megahit_metabat_bin-0554	00002	0.00039	13.0	0.1	0.00075	12.1	0.1	1.4	1	hypothetical protein
cogOTU_2591	4QGBR	1	Loc081215-5m_megahit_metabat_bin-0059	00009	3.2e-09	28.4	0.0	4.8e-09	27.8	0.0	1.2	1	hypothetical protein
cogOTU_2591	4QGBR	1	Loc081215-8m_megahit_metabat_bin-0554	00020	3.2e-09	28.4	0.0	4.8e-09	27.8	0.0	1.2	1	hypothetical protein
cogOTU_2591	4QGBR	1	Loc081215-4m_megahit_metabat_bin-1105	00019	2.1e-07	22.4	0.0	3.8e-06	18.2	0.0	2.0	2	hypothetical protein
cogOTU_2591	4QHD0	1	Loc081215-4m_megahit_metabat_bin-1105	00015	3.3e-14	45.0	0.2	1.6e-07	23.0	0.0	3.0	3	hypothetical protein
cogOTU_2591	4QETC	1	Loc081215-5m_megahit_metabat_bin-0059	00021	7.4e-30	96.6	17.0	7.4e-30	96.6	17.0	3.2	2	hypothetical protein
cogOTU_2591	4QETC	1	Loc081215-8m_megahit_metabat_bin-0554	00032	7.4e-30	96.6	17.0	7.4e-30	96.6	17.0	3.2	2	hypothetical protein
cogOTU_2591	4QF3K	1	Loc081215-4m_megahit_metabat_bin-1105	00008	4e-07	23.0	0.0	5.7e-05	16.0	0.0	2.1	2	hypothetical protein
cogOTU_2591	4QF3K	1	Loc081215-4m_megahit_metabat_bin-1105	00005	3.3e-06	20.0	0.0	4.9e-06	19.4	0.0	1.4	1	hypothetical protein
cogOTU_2591	4QF3K	1	Loc081215-5m_megahit_metabat_bin-0059	00020	1.1e-05	18.3	0.1	0.0073	9.2	0.0	2.1	2	hypothetical protein
cogOTU_2591	4QF3K	1	Loc081215-8m_megahit_metabat_bin-0554	00031	1.1e-05	18.3	0.1	0.0073	9.2	0.0	2.1	2	hypothetical protein
cogOTU_2591	4QFWK	1	Loc081215-5m_megahit_metabat_bin-0059	00030	0.00013	15.0	0.0	0.00014	14.8	0.0	1.0	1	hypothetical protein
